Index,wgs_id,run_accession,study_country_concat,simulation_study
1,ERR1,ERR1,Study1,0
2,ERR2,ERR2,Study1,0
3,ERR3,ERR3,Study1,0
4,ERR4,ERR4,Study1,0
5,ERR5,ERR5,Study1,0
6,ERR6,ERR6,Study1,0
7,ERR7,ERR7,Study1,0
8,ERR8,ERR8,Study1,0
9,ERR9,ERR9,Study1,0
10,ERR10,ERR10,Study1,0
11,ERR11,ERR11,Study1,0
12,ERR12,ERR12,Study1,0
13,ERR13,ERR13,Study1,0
14,ERR14,ERR14,Study1,0
15,ERR15,ERR15,Study1,0
16,ERR16,ERR16,Study1,0
17,ERR17,ERR17,Study1,0
18,ERR18,ERR18,Study1,0
19,ERR19,ERR19,Study1,0
20,ERR20,ERR20,Study1,0
21,ERR21,ERR21,Study1,0
22,ERR22,ERR22,Study1,0
23,ERR23,ERR23,Study1,0
24,ERR24,ERR24,Study1,0
25,ERR25,ERR25,Study1,0
26,ERR26,ERR26,Study1,0
27,ERR27,ERR27,Study1,0
28,ERR28,ERR28,Study1,0
29,ERR29,ERR29,Study1,1
30,ERR30,ERR30,Study1,0
31,ERR31,ERR31,Study1,0
32,ERR32,ERR32,Study1,0
33,ERR33,ERR33,Study1,1
34,ERR34,ERR34,Study1,0
35,ERR35,ERR35,Study1,0
36,ERR36,ERR36,Study1,0
37,ERR37,ERR37,Study1,0
38,ERR38,ERR38,Study1,0
39,ERR39,ERR39,Study1,0
40,ERR40,ERR40,Study1,0
41,ERR41,ERR41,Study1,0
42,ERR42,ERR42,Study1,0
43,ERR43,ERR43,Study1,0
44,ERR44,ERR44,Study1,0
45,ERR45,ERR45,Study1,0
46,ERR46,ERR46,Study1,0
47,ERR47,ERR47,Study1,0
48,ERR48,ERR48,Study1,1
49,ERR49,ERR49,Study1,0
50,ERR50,ERR50,Study1,0
51,ERR51,ERR51,Study1,0
52,ERR52,ERR52,Study1,0
53,ERR53,ERR53,Study1,0
54,ERR54,ERR54,Study1,0
55,ERR55,ERR55,Study1,1
56,ERR56,ERR56,Study1,0
57,ERR57,ERR57,Study1,0
58,ERR58,ERR58,Study1,0
59,ERR59,ERR59,Study1,0
60,ERR60,ERR60,Study1,0
61,ERR61,ERR61,Study1,0
62,ERR62,ERR62,Study1,0
63,ERR63,ERR63,Study1,0
64,ERR64,ERR64,Study1,0
65,ERR65,ERR65,Study1,0
66,ERR66,ERR66,Study1,0
67,ERR67,ERR67,Study1,0
68,ERR68,ERR68,Study1,0
69,ERR69,ERR69,Study1,0
70,ERR70,ERR70,Study1,0
71,ERR71,ERR71,Study1,0
72,ERR72,ERR72,Study1,0
73,ERR73,ERR73,Study1,0
74,ERR74,ERR74,Study1,0
75,ERR75,ERR75,Study1,0
76,ERR76,ERR76,Study1,0
77,ERR77,ERR77,Study1,0
78,ERR78,ERR78,Study1,0
79,ERR79,ERR79,Study1,0
80,ERR80,ERR80,Study1,0
81,ERR81,ERR81,Study1,0
82,ERR82,ERR82,Study1,0
83,ERR83,ERR83,Study1,0
84,ERR84,ERR84,Study1,0
85,ERR85,ERR85,Study1,0
86,ERR86,ERR86,Study1,0
87,ERR87,ERR87,Study1,0
88,ERR88,ERR88,Study1,0
89,ERR89,ERR89,Study1,0
90,ERR90,ERR90,Study1,0
91,ERR91,ERR91,Study1,0
92,ERR92,ERR92,Study1,0
93,ERR93,ERR93,Study1,0
94,ERR94,ERR94,Study1,0
95,ERR95,ERR95,Study1,0
96,ERR96,ERR96,Study1,0
97,ERR97,ERR97,Study1,0
98,ERR98,ERR98,Study1,0
99,ERR99,ERR99,Study1,0
100,ERR100,ERR100,Study1,0
101,ERR101,ERR101,Study1,0
102,ERR102,ERR102,Study1,0
103,ERR103,ERR103,Study1,0
104,ERR104,ERR104,Study1,0
105,ERR105,ERR105,Study1,0
106,ERR106,ERR106,Study1,0
107,ERR107,ERR107,Study1,0
108,ERR108,ERR108,Study1,0
109,ERR109,ERR109,Study1,0
110,ERR110,ERR110,Study1,0
111,ERR111,ERR111,Study1,0
112,ERR112,ERR112,Study1,0
113,ERR113,ERR113,Study1,0
114,ERR114,ERR114,Study1,0
115,ERR115,ERR115,Study1,0
116,ERR116,ERR116,Study1,0
117,ERR117,ERR117,Study1,0
118,ERR118,ERR118,Study1,0
119,ERR119,ERR119,Study1,0
120,ERR120,ERR120,Study1,0
121,ERR121,ERR121,Study1,0
122,ERR122,ERR122,Study1,0
123,ERR123,ERR123,Study1,0
124,ERR124,ERR124,Study1,0
125,ERR125,ERR125,Study1,0
126,ERR126,ERR126,Study1,0
127,ERR127,ERR127,Study1,0
128,ERR128,ERR128,Study1,0
129,ERR129,ERR129,Study1,0
130,ERR130,ERR130,Study1,0
131,ERR131,ERR131,Study1,0
132,ERR132,ERR132,Study1,0
133,ERR133,ERR133,Study1,0
134,ERR134,ERR134,Study1,0
135,ERR135,ERR135,Study1,0
136,ERR136,ERR136,Study1,0
137,ERR137,ERR137,Study1,0
138,ERR138,ERR138,Study1,0
139,ERR139,ERR139,Study1,0
140,ERR140,ERR140,Study1,0
141,ERR141,ERR141,Study1,0
142,ERR142,ERR142,Study1,0
143,ERR143,ERR143,Study1,0
144,ERR144,ERR144,Study1,0
145,ERR145,ERR145,Study1,0
146,ERR146,ERR146,Study1,0
147,ERR147,ERR147,Study1,0
148,ERR148,ERR148,Study1,1
149,ERR149,ERR149,Study1,0
150,ERR150,ERR150,Study1,0
151,ERR151,ERR151,Study1,0
152,ERR152,ERR152,Study1,0
153,ERR153,ERR153,Study1,0
154,ERR154,ERR154,Study1,0
155,ERR155,ERR155,Study1,0
156,ERR156,ERR156,Study1,0
157,ERR157,ERR157,Study1,0
158,ERR158,ERR158,Study1,0
159,ERR159,ERR159,Study1,0
160,ERR160,ERR160,Study1,0
161,ERR161,ERR161,Study1,0
162,ERR162,ERR162,Study1,0
163,ERR163,ERR163,Study1,0
164,ERR164,ERR164,Study1,0
165,ERR165,ERR165,Study1,0
166,ERR166,ERR166,Study1,0
167,ERR167,ERR167,Study1,0
168,ERR168,ERR168,Study1,0
169,ERR169,ERR169,Study1,0
170,ERR170,ERR170,Study1,0
171,ERR171,ERR171,Study1,0
172,ERR172,ERR172,Study1,0
173,ERR173,ERR173,Study1,0
174,ERR174,ERR174,Study1,0
175,ERR175,ERR175,Study1,0
176,ERR176,ERR176,Study1,0
177,ERR177,ERR177,Study1,0
178,ERR178,ERR178,Study1,0
179,ERR179,ERR179,Study1,0
180,ERR180,ERR180,Study1,0
181,ERR181,ERR181,Study1,0
182,ERR182,ERR182,Study1,0
183,ERR183,ERR183,Study1,0
184,ERR184,ERR184,Study1,0
185,ERR185,ERR185,Study1,0
186,ERR186,ERR186,Study1,0
187,ERR187,ERR187,Study1,0
188,ERR188,ERR188,Study1,0
189,ERR189,ERR189,Study1,0
190,ERR190,ERR190,Study1,0
191,ERR191,ERR191,Study1,0
192,ERR192,ERR192,Study1,0
193,ERR193,ERR193,Study1,0
194,ERR194,ERR194,Study1,0
